1178	1568	1036	1399	1429	1120	1288	1679	788	1623	1316	1119	1287	1289	1457	1205	1064	1120	1315	758	1680	1204	1235	1512	1664	1568	813	586	1234	1681	1428	1346	1847	1683	1760	1454	1959	473	950	1514	1959	1608	286	474	361	1567	1626	1119	1005	1061	769	1510	980	1399	980	1638	1720	1455	698	1510	1582	1399	1106	768	769	980	1581	1399	475	979	2066	994	769	1943	1356	1455	980	414	1399	1511	1035	1455	1188	1569	1510	1455	1454	1581	769	712	1847	712	1512	810	414	1455	1511	1092	1397	1342
1290	1680	1149	1343	1204	1008	1233	1735	394	1735	1092	1007	1174	1178	1514	1373	896	1008	399	702	1957	1429	1124	1850	1607	1681	814	528	676	1736	1204	1345	475	1514	1720	1343	2108	416	1231	1570	2108	1609	285	586	474	1622	1345	879	1061	949	768	1567	881	1455	1581	769	1315	1511	413	1567	1024	1455	1894	769	1510	1581	1762	1455	345	923	1959	769	1638	2001	1524	1511	811	583	1455	1455	1581	1399	1133	1512	1566	1399	1900	696	1286	1511	345	657	1569	414	402	1454	1568	2181	1509	1455
1011	1736	1206	1287	1541	1232	1177	1846	1012	1679	1372	1062	1119	1514	1570	1262	785	1063	1345	1267	1794	1428	1068	1961	1720	1736	869	754	1911	1793	1315	1347	1691	1515	1511	1112	1897	528	1175	1515	1897	1776	336	416	473	1734	1571	1214	1173	1005	713	1622	1035	1343	881	1695	1847	1454	1760	1566	1414	1398	385	1316	713	770	1637	1343	590	755	1892	1192	768	1723	1132	712	867	526	1315	1791	881	712	1244	1624	1509	1398	1620	415	1638	627	698	1300	1624	641	583	712	1680	2049	1510	1581
1179	1681	1318	1174	1596	1063	1122	1790	341	1624	1427	951	1118	1436	1458	1317	1122	1232	1152	646	1900	1596	955	1795	1551	1680	701	587	1517	1737	1595	1400	345	1570	1345	1000	2057	474	1063	1683	2057	1495	196	473	416	1678	1627	951	1060	1173	1638	1566	1581	1398	770	1582	475	1955	306	768	1358	1343	544	1133	768	714	881	1398	698	993	2108	1301	1302	1512	994	1997	866	358	1343	1997	980	1581	1356	1623	769	1343	1957	527	993	684	1760	908	1457	472	358	1398	1720	1386	945	1398
1122	1792	1094	1342	1428	1175	1344	1622	1401	1847	1260	895	1062	1123	1515	1542	1288	952	1847	1208	1553	1541	1459	2111	1552	1793	590	112	1800	1680	1762	1235	1776	1739	475	1620	1675	360	783	1458	976	1831	388	361	360	1510	1315	1720	1229	893	1890	1943	978	1161	714	1302	1760	1398	1514	769	1192	1342	527	1638	1218	881	1650	1581	1760	1776	2112	1302	882	1384	1218	1996	754	472	1891	1999	1189	1161	1512	768	1622	1454	1777	471	1302	1581	344	1299	1570	585	526	656	1999	1555	1566	1399
787	1793	1150	1285	1318	952	1064	1904	503	1456	1539	1287	1007	1847	1683	1430	1177	1175	475	875	1777	1652	843	2153	1663	1737	815	1031	2191	1568	1596	1124	344	1684	413	943	978	586	949	1457	1245	1666	158	587	420	1679	1682	475	1230	1230	1776	1623	770	1342	1161	1750	306	712	1847	1776	1695	1581	1841	1372	1499	1050	1399	1342	1691	700	250	1024	1582	2047	1187	1719	881	810	1581	1832	770	881	1245	1456	713	1342	1833	470	1499	1996	475	1411	627	923	403	1996	1833	1022	1341	1343
844	1737	1486	1118	1652	1176	953	1848	1998	1734	1540	838	1006	1119	1512	1655	1233	727	1720	647	2067	1315	1125	1515	1777	1625	871	976	1096	1625	1763	1236	1665	1738	1847	1498	976	361	837	399	720	1775	125	360	311	1566	1152	1691	893	1060	993	1678	1161	881	1035	1639	1119	1719	345	1622	1302	881	2039	1302	1106	1273	1751	881	1720	1105	1245	993	1695	1837	769	1399	1581	640	1511	1719	978	770	1132	1567	1890	1581	1553	307	1582	1997	413	656	684	217	459	1399	1832	1218	889	1454
563	1905	1207	1398	1036	840	898	2062	1233	1567	1203	894	894	1720	1738	1821	672	840	590	759	740	1763	1513	2154	1606	1792	812	140	1010	1905	1483	1459	1608	1795	1315	777	754	415	1008	1460	754	1215	195	309	415	1790	1513	399	949	837	1302	2049	1273	1581	659	882	413	1997	590	1890	1584	1637	1115	1188	882	1035	1315	770	344	516	402	1023	994	1885	1386	1946	518	977	684	1720	1134	1273	768	2049	1567	712	1674	401	994	657	590	627	628	640	259	1342	1998	994	1621	881
1180	1625	1543	1006	1149	727	1289	1789	957	1904	1651	1174	838	1290	1569	1487	898	1176	1514	703	1833	1708	1293	1458	1719	1905	760	38	2152	1792	1650	1068	413	1628	306	1781	1245	309	1061	1847	1892	1947	445	528	307	1623	1572	895	1116	1229	1499	1776	714	1273	1050	1583	698	1720	475	1943	1022	1049	2152	1245	1722	1161	1077	1161	306	530	296	1582	1106	739	882	770	463	582	1554	2110	1161	1554	1076	1943	1776	770	2221	413	824	1455	306	1077	1133	308	977	657	1777	1890	1622	1594
1237	1511	1429	1119	1206	783	954	1624	1288	1848	1707	1118	782	399	1403	1599	784	615	961	1941	1146	1318	620	2225	1494	1682	589	181	1267	1794	1652	900	306	1460	961	1900	1980	527	613	1739	1870	1270	157	699	811	1846	1720	1007	1004	892	1609	1734	743	712	1273	1358	1214	657	1720	2049	854	1161	1060	1540	1105	1134	1696	712	413	642	2057	1246	1358	1951	1468	1834	574	259	1398	1833	714	1497	1457	1738	1722	1161	1343	359	1105	628	1720	684	2047	358	472	1997	1681	1203	1280	1637
